Order_ID;Size;Color;Order;Detail_Divan;Buyer_ID;Order_Date;Finish_Date;order_detail/information;Price;;;;;
72;160;Abu-Abu;Tipe1;Biasa;3;2019-05-19;2019-05-26;Tipe1 Biasa 160 Abu-Abu;700000;;;;;
73;160;Abu-Abu;Tipe3;Biasa;3;2019-05-19;2019-05-26;Tipe3 Biasa 160 Abu-Abu;1200000;;;;;
74;120;Hitam;Tipe4;Biasa;3;2019-05-19;2019-05-26;Tipe4 Biasa 120 Hitam;1300000;;;;;
75;120;Abu-Abu;Tipe4;Biasa;3;2019-05-19;2019-05-26;Tipe4 Biasa 120 Abu-Abu;1300000;;;;;
76;160;Pink;Tipe1;Biasa;3;2019-05-19;2019-05-26;Tipe1 Biasa 160 Pink;700000;;;;;
77;180;Coklat;Tipe1;Biasa;1;2019-05-22;2019-05-29;Tipe1 Biasa 180 Coklat;700000;;;;;
78;160;Pink;Tipe1;Laci;1;2019-05-22;2019-05-29;Tipe1 Laci 160 Pink;1000000;;;;;
79;160;Coklat;Tipe1;Biasa;1;2019-05-22;2019-05-29;Tipe1 Biasa 160 Coklat;700000;;;;;
80;140;Hitam;Tipe4;Biasa;1;2019-05-22;2019-05-29;Tipe4 Biasa 140 Hitam;1300000;;;;;
81;160;Hitam;Tipe1;Biasa;1;2019-05-22;2019-05-29;Tipe1 Biasa 160 Hitam;700000;;;;;
82;120;Coklat;Tipe3;Biasa;2;2019-05-24;2019-05-31;Tipe3 Biasa 120 Coklat;1200000;;;;;
83;160;Abu-Abu;Tipe3;Laci;2;2019-05-24;2019-05-31;Tipe3 Laci 160 Abu-Abu;1500000;;;;;
84;180;Pink;Tipe4;Biasa;2;2019-05-24;2019-05-31;Tipe4 Biasa 180 Pink;1300000;;;;;
85;180;Abu-Abu;Tipe4;Biasa;2;2019-05-24;2019-05-31;Tipe4 Biasa 180 Abu-Abu;1300000;;;;;
86;180;Pink;Tipe3;Biasa;2;2019-05-24;2019-05-31;Tipe3 Biasa 180 Pink;1200000;;;;;
87;120;Hitam;Tipe1;Laci;2;2019-05-24;2019-05-31;Tipe1 Laci 120 Hitam;1000000;;;;;
88;180;Hitam;Tipe1;Biasa;3;2019-05-26;2019-06-02;Tipe1 Biasa 180 Hitam;700000;;;;;
89;160;Hitam;Tipe1;Biasa;3;2019-05-26;2019-06-02;Tipe1 Biasa 160 Hitam;700000;;;;;
90;160;Coklat;Tipe2;Biasa;3;2019-05-26;2019-06-02;Tipe2 Biasa 160 Coklat;1100000;;;;;
91;120;Coklat;Tipe1;Biasa;3;2019-05-26;2019-06-02;Tipe1 Biasa 120 Coklat;700000;;;;;
92;120;Abu-Abu;Tipe4;Biasa;3;2019-05-26;2019-06-02;Tipe4 Biasa 120 Abu-Abu;1300000;;;;;
93;160;Hitam;Tipe1;Biasa;3;2019-05-26;2019-06-02;Tipe1 Biasa 160 Hitam;700000;;;;;
94;180;Hitam;Tipe4;Permata;3;2019-05-26;2019-06-02;Tipe4 Permata 180 Hitam;1900000;;;;;
95;160;Coklat;Tipe1;Biasa;3;2019-05-26;2019-06-02;Tipe1 Biasa 160 Coklat;700000;;;;;
96;180;Pink;Tipe2;Biasa;3;2019-05-26;2019-06-02;Tipe2 Biasa 180 Pink;1100000;;;;;
97;160;Hitam;Tipe1;Biasa;3;2019-05-26;2019-06-02;Tipe1 Biasa 160 Hitam;700000;;;;;
