Order_ID,Size,Color,Order,Detail_Divan,Buyer_ID,Order_Date,Finish_Date,Price
160,160,Coklat,Tipe3,Biasa,2,12/7/2020,12/14/2020,1100000
161,160,Hitam,Tipe3,Biasa,2,12/7/2020,12/14/2020,1100000
162,160,Hitam,Tipe3,Biasa,2,12/7/2020,12/14/2020,1100000
163,120,Hitam,Tipe4,Biasa,2,12/7/2020,12/14/2020,1300000
164,160,Hitam,Tipe4,Biasa,2,12/7/2020,12/14/2020,1300000
165,140,Merah,Tipe4,Biasa,2,12/7/2020,12/14/2020,1300000
166,160,Pink,Tipe4,Biasa,2,12/7/2020,12/14/2020,1300000
167,160,Hitam,Tipe1,Laci,2,12/7/2020,12/14/2020,1500000
168,160,Abu-Abu,Tipe2,Permata,2,12/7/2020,12/14/2020,1300000
169,160,Abu-Abu,Tipe1,Biasa,1,12/13/2020,12/20/2020,1200000
170,160,Coklat,Tipe1,Biasa,1,12/13/2020,12/20/2020,1200000
171,160,Abu-Abu,Tipe2,Biasa,1,12/13/2020,12/20/2020,700000
172,160,Coklat,Tipe2,Biasa,1,12/13/2020,12/20/2020,700000
173,140,Hitam,Tipe2,Biasa,1,12/13/2020,12/20/2020,700000
174,160,Abu-Abu,Tipe3,Biasa,1,12/13/2020,12/20/2020,1100000
175,160,Abu-Abu,Tipe3,Biasa,1,12/13/2020,12/20/2020,1100000
176,180,Abu-Abu,Tipe3,Biasa,1,12/13/2020,12/20/2020,1100000
177,140,Hitam,Tipe4,Biasa,1,12/13/2020,12/20/2020,1300000
178,160,Hitam,Tipe4,Biasa,1,12/13/2020,12/20/2020,1300000
179,140,Merah,Tipe4,Biasa,1,12/13/2020,12/20/2020,1300000
180,140,Merah,Tipe4,Biasa,1,12/13/2020,12/20/2020,1300000
181,160,Hitam,Tipe1,Laci,1,12/13/2020,12/20/2020,1500000
182,140,Abu-Abu,Tipe2,Laci,1,12/13/2020,12/20/2020,1000000
183,180,Abu-Abu,Tipe1,Biasa,2,12/14/2020,12/21/2020,1200000
184,160,Coklat,Tipe1,Biasa,2,12/14/2020,12/21/2020,1200000
185,140,Pink,Tipe1,Biasa,2,12/14/2020,12/21/2020,1200000
186,180,Pink,Tipe1,Biasa,2,12/14/2020,12/21/2020,1200000
187,160,Hitam,Tipe2,Biasa,2,12/14/2020,12/21/2020,700000
188,120,Pink,Tipe2,Biasa,2,12/14/2020,12/21/2020,700000
189,180,Coklat,Tipe3,Biasa,2,12/14/2020,12/21/2020,1100000
190,160,Hitam,Tipe3,Biasa,2,12/14/2020,12/21/2020,1100000
191,160,Hitam,Tipe3,Biasa,2,12/14/2020,12/21/2020,1100000
192,180,Hitam,Tipe4,Biasa,2,12/14/2020,12/21/2020,1300000
193,160,Pink,Tipe2,Laci,2,12/14/2020,12/21/2020,1000000
194,180,Abu-Abu,Tipe3,Laci,2,12/14/2020,12/21/2020,1400000
195,140,Hitam,Tipe3,Laci,2,12/14/2020,12/21/2020,1400000
196,140,Coklat,Tipe2,Permata,2,12/14/2020,12/21/2020,1300000
197,160,Coklat,Tipe1,Biasa,1,12/20/2020,12/27/2020,1200000
198,160,Coklat,Tipe1,Biasa,1,12/20/2020,12/27/2020,1200000
199,160,Hitam,Tipe1,Biasa,1,12/20/2020,12/27/2020,1200000
200,140,Abu-Abu,Tipe2,Biasa,1,12/20/2020,12/27/2020,700000
201,160,Hitam,Tipe2,Biasa,1,12/20/2020,12/27/2020,700000
202,160,Pink,Tipe2,Biasa,1,12/20/2020,12/27/2020,700000
203,160,Coklat,Tipe3,Biasa,1,12/20/2020,12/27/2020,1100000
204,160,Coklat,Tipe3,Biasa,1,12/20/2020,12/27/2020,1100000
205,160,Coklat,Tipe3,Biasa,1,12/20/2020,12/27/2020,1100000
206,180,Hitam,Tipe3,Biasa,1,12/20/2020,12/27/2020,1100000
207,160,Hitam,Tipe4,Biasa,1,12/20/2020,12/27/2020,1300000
208,160,Hitam,Tipe3,Laci,1,12/20/2020,12/27/2020,1400000
209,160,Coklat,Tipe2,Permata,1,12/20/2020,12/27/2020,1300000
210,160,Hitam,Tipe3,Permata,1,12/20/2020,12/27/2020,1700000
211,140,Abu-Abu,Tipe1,Biasa,2,12/21/2020,12/28/2020,1200000
212,140,Abu-Abu,Tipe1,Biasa,2,12/21/2020,12/28/2020,1200000
213,160,Abu-Abu,Tipe1,Biasa,2,12/21/2020,12/28/2020,1200000
214,140,Coklat,Tipe1,Biasa,2,12/21/2020,12/28/2020,1200000
215,140,Hitam,Tipe1,Biasa,2,12/21/2020,12/28/2020,1200000
216,140,Abu-Abu,Tipe2,Biasa,2,12/21/2020,12/28/2020,700000
217,160,Coklat,Tipe2,Biasa,2,12/21/2020,12/28/2020,700000
218,160,Coklat,Tipe2,Biasa,2,12/21/2020,12/28/2020,700000
219,160,Coklat,Tipe2,Biasa,2,12/21/2020,12/28/2020,700000
220,160,Hitam,Tipe2,Biasa,2,12/21/2020,12/28/2020,700000
221,160,Hitam,Tipe3,Biasa,2,12/21/2020,12/28/2020,1100000
222,180,Hitam,Tipe4,Laci,2,12/21/2020,12/28/2020,1600000
223,160,Abu-Abu,Tipe1,Permata,2,12/21/2020,12/28/2020,180000
224,140,Coklat,Tipe3,Permata,2,12/21/2020,12/28/2020,1700000
225,120,Hitam,Tipe1,Biasa,1,12/27/2020,1/3/2021,1200000
226,160,Hitam,Tipe1,Biasa,1,12/27/2020,1/3/2021,1200000
227,120,Merah,Tipe1,Biasa,1,12/27/2020,1/3/2021,1200000
228,160,Abu-Abu,Tipe2,Biasa,1,12/27/2020,1/3/2021,700000
229,180,Coklat,Tipe2,Biasa,1,12/27/2020,1/3/2021,700000
